,item_nbr,sku,brand,pos_qty,pos_sales,Date
11831,552205720,2011692,Vitamins,0,0.0,2022-10-01
11885,30519315,ENFAGROW0005679690608,Enfagrow,0,0.0,2022-10-01
9006,550265662,2004827,Specialty,0,0.0,2022-10-01
9005,552913494,1282194,Specialty,0,0.0,2022-10-01
9004,2676246,1014853,Specialty,0,0.0,2022-10-01
6326,2870265,1241760,Enfamil,53,3284.41,2022-10-01
967,30807356,2015853,Enfagrow,0,0.0,2022-10-01
8945,585731258,1281334,Specialty,0,0.0,2022-10-01
6947,2684415,2051560,Enfamil WIC,35627,612535.67,2022-10-01
6327,2884552,1269807,Enfamil,211,12742.55,2022-10-01
649,652513690,3189347,Enfagrow,167,4287.71,2022-10-01
650,579134591,3180081,Enfagrow,7,41.43,2022-10-01
6952,7900539,1154529,Enfamil WIC,0,0.0,2022-10-01
6328,30192357,1269779,Enfamil,397,4160.49,2022-10-01
1302,579134589,3118127,Enfamil,1,31.78,2022-10-01
10592,581323024,3141465,Super High Premium,0,0.0,2022-10-01
1287,2679139,3127349,Enfamil,48,1893.24,2022-10-01
11151,581615952,3129124,Vitamins,0,0.0,2022-10-01
1268,30695947,2015852,Enfagrow,0,0.0,2022-10-01
8804,550700335,1263203,Specialty,0,0.0,2022-10-01
2464,567626962,2040672,Enfamil,0,0.0,2022-10-01
8046,567530185,2004138,Nutramigen / Allergy,0,0.0,2022-10-01
3475,550265660,2039763,Enfamil,0,0.0,2022-10-01
4109,260089490,2039732,Enfamil,0,0.0,2022-10-01
10669,555219839,2032919,Super High Premium,0,0.0,2022-10-01
10670,555621406,2032919,Super High Premium,0,0.0,2022-10-01
5962,554228280,2038264,Enfamil,0,0.0,2022-10-01
9007,551355457,1014853,Specialty,0,0.0,2022-10-01
11224,4007437,1253339,Vitamins,24,106.16,2022-10-01
2299,30193489,1278788,Enfamil,371,14082.59,2022-10-01
1454,584727078,3192255,Enfamil,4212,218301.13,2022-10-01
1453,567284249,2051531,Enfamil,2640,23528.15,2022-10-01
4461,567213440,2044711,Enfamil,0,0.0,2022-10-01
4460,562987491,2051562,Enfamil,0,0.0,2022-10-01
1452,575182522,2050728,Enfamil,1,29.88,2022-10-01
1451,581623211,3186640,Enfamil,2,63.56,2022-10-01
7708,576905994,3194722,Nutramigen / Allergy,0,0.0,2022-10-01
7709,7904564,2004135,Nutramigen / Allergy,0,0.0,2022-10-01
7749,7900574,2049717,Nutramigen / Allergy,0,0.0,2022-10-01
6853,31749037,3176973,Enfamil,102,3872.94,2022-10-01
7750,551174858,2050676,Nutramigen / Allergy,8,286.08,2022-10-01
10378,584854467,3169719,Super High Premium,0,0.0,2022-10-01
3474,575182521,3180085,Enfamil,2,59.76,2022-10-01
8361,2635245,2049717,Nutramigen / Allergy,2311,20571.06,2022-10-01
5973,30193083,2014689,Enfamil,299,15806.9,2022-10-01
9149,653232229,2048589,Specialty,0,0.0,2022-10-01
5260,577723574,2051717,Enfamil,0,0.0,2022-10-01
5261,550342754,2004137,Enfamil,0,0.0,2022-10-01
11996,30196611,ENFAMIL0005679690600,Enfamil,10,613.5,2022-10-01
9113,552770108,2004540,Specialty,0,0.0,2022-10-01
10426,651283843,3199418,Super High Premium,0,0.0,2022-10-01
926,550370993,2039832,Enfagrow,0,0.0,2022-10-01
10427,577723572,2050292,Super High Premium,0,0.0,2022-10-01
9086,576905993,3168592,Specialty,0,0.0,2022-10-01
9085,587572923,3168591,Specialty,0,0.0,2022-10-01
2296,30193491,1278789,Enfamil,346,18327.62,2022-10-01
12517,30305858,ENFAMIL0005679690596,Enfamil,352,18908.26,2022-10-01
3473,7904550,3179305,Enfamil,117,1722.92,2022-10-01
